"행정구역","2026년01월_거주자_총인구수","2026년01월_거주자_연령구간인구수","2026년01월_거주자_0~9세","2026년01월_거주자_10~19세","2026년01월_거주자_20~29세","2026년01월_거주자_30~39세","2026년01월_거주자_40~49세","2026년01월_거주자_50~59세","2026년01월_거주자_60~69세","2026년01월_거주자_70~79세","2026년01월_거주자_80~89세","2026년01월_거주자_90~99세","2026년01월_거주자_100세 이상","2026년01월_남_거주자_총인구수","2026년01월_남_거주자_연령구간인구수","2026년01월_남_거주자_0~9세","2026년01월_남_거주자_10~19세","2026년01월_남_거주자_20~29세","2026년01월_남_거주자_30~39세","2026년01월_남_거주자_40~49세","2026년01월_남_거주자_50~59세","2026년01월_남_거주자_60~69세","2026년01월_남_거주자_70~79세","2026년01월_남_거주자_80~89세","2026년01월_남_거주자_90~99세","2026년01월_남_거주자_100세 이상","2026년01월_여_거주자_총인구수","2026년01월_여_거주자_연령구간인구수","2026년01월_여_거주자_0~9세","2026년01월_여_거주자_10~19세","2026년01월_여_거주자_20~29세","2026년01월_여_거주자_30~39세","2026년01월_여_거주자_40~49세","2026년01월_여_거주자_50~59세","2026년01월_여_거주자_60~69세","2026년01월_여_거주자_70~79세","2026년01월_여_거주자_80~89세","2026년01월_여_거주자_90~99세","2026년01월_여_거주자_100세 이상","2026년02월_거주자_총인구수","2026년02월_거주자_연령구간인구수","2026년02월_거주자_0~9세","2026년02월_거주자_10~19세","2026년02월_거주자_20~29세","2026년02월_거주자_30~39세","2026년02월_거주자_40~49세","2026년02월_거주자_50~59세","2026년02월_거주자_60~69세","2026년02월_거주자_70~79세","2026년02월_거주자_80~89세","2026년02월_거주자_90~99세","2026년02월_거주자_100세 이상","2026년02월_남_거주자_총인구수","2026년02월_남_거주자_연령구간인구수","2026년02월_남_거주자_0~9세","2026년02월_남_거주자_10~19세","2026년02월_남_거주자_20~29세","2026년02월_남_거주자_30~39세","2026년02월_남_거주자_40~49세","2026년02월_남_거주자_50~59세","2026년02월_남_거주자_60~69세","2026년02월_남_거주자_70~79세","2026년02월_남_거주자_80~89세","2026년02월_남_거주자_90~99세","2026년02월_남_거주자_100세 이상","2026년02월_여_거주자_총인구수","2026년02월_여_거주자_연령구간인구수","2026년02월_여_거주자_0~9세","2026년02월_여_거주자_10~19세","2026년02월_여_거주자_20~29세","2026년02월_여_거주자_30~39세","2026년02월_여_거주자_40~49세","2026년02월_여_거주자_50~59세","2026년02월_여_거주자_60~69세","2026년02월_여_거주자_70~79세","2026년02월_여_거주자_80~89세","2026년02월_여_거주자_90~99세","2026년02월_여_거주자_100세 이상","2026년03월_거주자_총인구수","2026년03월_거주자_연령구간인구수","2026년03월_거주자_0~9세","2026년03월_거주자_10~19세","2026년03월_거주자_20~29세","2026년03월_거주자_30~39세","2026년03월_거주자_40~49세","2026년03월_거주자_50~59세","2026년03월_거주자_60~69세","2026년03월_거주자_70~79세","2026년03월_거주자_80~89세","2026년03월_거주자_90~99세","2026년03월_거주자_100세 이상","2026년03월_남_거주자_총인구수","2026년03월_남_거주자_연령구간인구수","2026년03월_남_거주자_0~9세","2026년03월_남_거주자_10~19세","2026년03월_남_거주자_20~29세","2026년03월_남_거주자_30~39세","2026년03월_남_거주자_40~49세","2026년03월_남_거주자_50~59세","2026년03월_남_거주자_60~69세","2026년03월_남_거주자_70~79세","2026년03월_남_거주자_80~89세","2026년03월_남_거주자_90~99세","2026년03월_남_거주자_100세 이상","2026년03월_여_거주자_총인구수","2026년03월_여_거주자_연령구간인구수","2026년03월_여_거주자_0~9세","2026년03월_여_거주자_10~19세","2026년03월_여_거주자_20~29세","2026년03월_여_거주자_30~39세","2026년03월_여_거주자_40~49세","2026년03월_여_거주자_50~59세","2026년03월_여_거주자_60~69세","2026년03월_여_거주자_70~79세","2026년03월_여_거주자_80~89세","2026년03월_여_거주자_90~99세","2026년03월_여_거주자_100세 이상","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상","2026년05월_거주자_총인구수","2026년05월_거주자_연령구간인구수","2026년05월_거주자_0~9세","2026년05월_거주자_10~19세","2026년05월_거주자_20~29세","2026년05월_거주자_30~39세","2026년05월_거주자_40~49세","2026년05월_거주자_50~59세","2026년05월_거주자_60~69세","2026년05월_거주자_70~79세","2026년05월_거주자_80~89세","2026년05월_거주자_90~99세","2026년05월_거주자_100세 이상","2026년05월_남_거주자_총인구수","2026년05월_남_거주자_연령구간인구수","2026년05월_남_거주자_0~9세","2026년05월_남_거주자_10~19세","2026년05월_남_거주자_20~29세","2026년05월_남_거주자_30~39세","2026년05월_남_거주자_40~49세","2026년05월_남_거주자_50~59세","2026년05월_남_거주자_60~69세","2026년05월_남_거주자_70~79세","2026년05월_남_거주자_80~89세","2026년05월_남_거주자_90~99세","2026년05월_남_거주자_100세 이상","2026년05월_여_거주자_총인구수","2026년05월_여_거주자_연령구간인구수","2026년05월_여_거주자_0~9세","2026년05월_여_거주자_10~19세","2026년05월_여_거주자_20~29세","2026년05월_여_거주자_30~39세","2026년05월_여_거주자_40~49세","2026년05월_여_거주자_50~59세","2026년05월_여_거주자_60~69세","2026년05월_여_거주자_70~79세","2026년05월_여_거주자_80~89세","2026년05월_여_거주자_90~99세","2026년05월_여_거주자_100세 이상","2026년06월_거주자_총인구수","2026년06월_거주자_연령구간인구수","2026년06월_거주자_0~9세","2026년06월_거주자_10~19세","2026년06월_거주자_20~29세","2026년06월_거주자_30~39세","2026년06월_거주자_40~49세","2026년06월_거주자_50~59세","2026년06월_거주자_60~69세","2026년06월_거주자_70~79세","2026년06월_거주자_80~89세","2026년06월_거주자_90~99세","2026년06월_거주자_100세 이상","2026년06월_남_거주자_총인구수","2026년06월_남_거주자_연령구간인구수","2026년06월_남_거주자_0~9세","2026년06월_남_거주자_10~19세","2026년06월_남_거주자_20~29세","2026년06월_남_거주자_30~39세","2026년06월_남_거주자_40~49세","2026년06월_남_거주자_50~59세","2026년06월_남_거주자_60~69세","2026년06월_남_거주자_70~79세","2026년06월_남_거주자_80~89세","2026년06월_남_거주자_90~99세","2026년06월_남_거주자_100세 이상","2026년06월_여_거주자_총인구수","2026년06월_여_거주자_연령구간인구수","2026년06월_여_거주자_0~9세","2026년06월_여_거주자_10~19세","2026년06월_여_거주자_20~29세","2026년06월_여_거주자_30~39세","2026년06월_여_거주자_40~49세","2026년06월_여_거주자_50~59세","2026년06월_여_거주자_60~69세","2026년06월_여_거주자_70~79세","2026년06월_여_거주자_80~89세","2026년06월_여_거주자_90~99세","2026년06월_여_거주자_100세 이상"
"서울특별시 강남구 대치4동(1168063000)","17,747","17,747","506","2,022","2,638","3,083","3,102","3,232","1,606","1,020","487","51","0","8,443","8,443","267","1,113","1,274","1,524","1,296","1,567","745","409","230","18","0","9,304","9,304","239","909","1,364","1,559","1,806","1,665","861","611","257","33","0","17,767","17,767","513","2,013","2,629","3,077","3,131","3,239","1,604","1,014","493","54","0","8,467","8,467","280","1,109","1,275","1,521","1,305","1,569","748","407","233","20","0","9,300","9,300","233","904","1,354","1,556","1,826","1,670","856","607","260","34","0","17,745","17,745","502","1,989","2,614","3,098","3,125","3,232","1,609","1,027","495","54","0","8,473","8,473","272","1,099","1,277","1,529","1,305","1,571","753","414","232","21","0","9,272","9,272","230","890","1,337","1,569","1,820","1,661","856","613","263","33","0","17,777","17,777","504","1,991","2,604","3,118","3,111","3,248","1,621","1,030","493","57","0","8,485","8,485","272","1,097","1,266","1,535","1,302","1,579","766","416","230","22","0","9,292","9,292","232","894","1,338","1,583","1,809","1,669","855","614","263","35","0","17,746","17,746","496","1,989","2,595","3,117","3,099","3,255","1,604","1,037","497","57","0","8,455","8,455","267","1,094","1,257","1,539","1,292","1,577","755","422","230","22","0","9,291","9,291","229","895","1,338","1,578","1,807","1,678","849","615","267","35","0","17,771","17,771","495","2,019","2,594","3,099","3,120","3,244","1,609","1,040","495","56","0","8,474","8,474","263","1,109","1,255","1,539","1,305","1,570","762","418","231","22","0","9,297","9,297","232","910","1,339","1,560","1,815","1,674","847","622","264","34","0"
"서울특별시 강남구 역삼1동(1168064000)","33,270","33,270","713","1,251","6,049","9,544","5,932","4,252","2,894","1,754","769","110","2","16,265","16,265","340","626","2,534","4,839","3,028","2,266","1,436","779","384","32","1","17,005","17,005","373","625","3,515","4,705","2,904","1,986","1,458","975","385","78","1","33,300","33,300","711","1,261","6,003","9,541","5,947","4,289","2,901","1,761","770","114","2","16,276","16,276","343","639","2,504","4,834","3,034","2,289","1,430","789","379","34","1","17,024","17,024","368","622","3,499","4,707","2,913","2,000","1,471","972","391","80","1","33,245","33,245","708","1,234","5,984","9,568","5,907","4,278","2,907","1,773","767","116","3","16,244","16,244","348","624","2,485","4,859","3,016","2,272","1,431","797","377","34","1","17,001","17,001","360","610","3,499","4,709","2,891","2,006","1,476","976","390","82","2","33,256","33,256","713","1,241","5,916","9,600","5,909","4,283","2,910","1,791","773","117","3","16,222","16,222","351","633","2,453","4,862","3,009","2,258","1,438","805","377","35","1","17,034","17,034","362","608","3,463","4,738","2,900","2,025","1,472","986","396","82","2","33,332","33,332","719","1,242","5,927","9,589","5,931","4,318","2,897","1,815","777","114","3","16,241","16,241","350","636","2,446","4,840","3,030","2,265","1,438","817","383","35","1","17,091","17,091","369","606","3,481","4,749","2,901","2,053","1,459","998","394","79","2","33,348","33,348","731","1,236","5,892","9,607","5,940","4,320","2,896","1,821","787","115","3","16,249","16,249","353","633","2,425","4,847","3,019","2,282","1,441","828","385","35","1","17,099","17,099","378","603","3,467","4,760","2,921","2,038","1,455","993","402","80","2"
"서울특별시 강남구 역삼2동(1168065000)","35,577","35,577","1,848","5,743","4,216","4,359","7,796","6,235","2,517","1,911","850","101","1","16,500","16,500","864","2,624","1,799","2,011","3,392","3,327","1,250","787","406","39","1","19,077","19,077","984","3,119","2,417","2,348","4,404","2,908","1,267","1,124","444","62","0","35,540","35,540","1,850","5,729","4,183","4,341","7,796","6,226","2,539","1,917","854","104","1","16,474","16,474","870","2,610","1,795","1,995","3,395","3,321","1,255","786","405","41","1","19,066","19,066","980","3,119","2,388","2,346","4,401","2,905","1,284","1,131","449","63","0","35,501","35,501","1,821","5,702","4,150","4,379","7,734","6,266","2,550","1,930","865","103","1","16,469","16,469","853","2,599","1,782","2,030","3,366","3,333","1,267","788","409","41","1","19,032","19,032","968","3,103","2,368","2,349","4,368","2,933","1,283","1,142","456","62","0","35,473","35,473","1,797","5,705","4,159","4,368","7,678","6,303","2,558","1,927","870","107","1","16,453","16,453","841","2,595","1,777","2,038","3,346","3,350","1,271","783","411","40","1","19,020","19,020","956","3,110","2,382","2,330","4,332","2,953","1,287","1,144","459","67","0","35,448","35,448","1,763","5,697","4,183","4,355","7,638","6,315","2,575","1,932","881","107","2","16,437","16,437","822","2,593","1,793","2,035","3,320","3,354","1,279","785","414","41","1","19,011","19,011","941","3,104","2,390","2,320","4,318","2,961","1,296","1,147","467","66","1","35,477","35,477","1,735","5,696","4,198","4,347","7,655","6,331","2,585","1,936","886","106","2","16,442","16,442","808","2,589","1,806","2,018","3,328","3,356","1,287","792","416","41","1","19,035","19,035","927","3,107","2,392","2,329","4,327","2,975","1,298","1,144","470","65","1"
"서울특별시 강남구 도곡1동(1168065500)","20,528","20,528","1,341","2,499","2,328","2,818","3,659","3,192","2,475","1,570","554","91","1","9,640","9,640","646","1,127","1,106","1,335","1,658","1,594","1,135","763","247","29","0","10,888","10,888","695","1,372","1,222","1,483","2,001","1,598","1,340","807","307","62","1","20,600","20,600","1,367","2,487","2,332","2,814","3,685","3,202","2,473","1,589","557","93","1","9,667","9,667","656","1,119","1,100","1,333","1,669","1,607","1,136","770","248","29","0","10,933","10,933","711","1,368","1,232","1,481","2,016","1,595","1,337","819","309","64","1","20,553","20,553","1,348","2,490","2,321","2,801","3,666","3,201","2,474","1,597","561","93","1","9,646","9,646","644","1,123","1,097","1,330","1,654","1,606","1,145","769","250","28","0","10,907","10,907","704","1,367","1,224","1,471","2,012","1,595","1,329","828","311","65","1","20,540","20,540","1,334","2,493","2,322","2,788","3,657","3,221","2,467","1,602","562","93","1","9,642","9,642","635","1,125","1,099","1,321","1,652","1,617","1,142","770","253","28","0","10,898","10,898","699","1,368","1,223","1,467","2,005","1,604","1,325","832","309","65","1","20,545","20,545","1,320","2,493","2,317","2,786","3,677","3,197","2,468","1,624","563","99","1","9,637","9,637","630","1,123","1,087","1,322","1,664","1,604","1,149","776","254","28","0","10,908","10,908","690","1,370","1,230","1,464","2,013","1,593","1,319","848","309","71","1","20,549","20,549","1,302","2,499","2,321","2,782","3,664","3,207","2,477","1,626","570","100","1","9,634","9,634","622","1,126","1,085","1,315","1,663","1,611","1,149","779","256","28","0","10,915","10,915","680","1,373","1,236","1,467","2,001","1,596","1,328","847","314","72","1"
"서울특별시 강남구 도곡2동(1168065600)","31,654","31,654","2,199","4,640","3,201","2,898","5,839","5,358","3,518","2,703","1,100","194","4","14,596","14,596","1,072","2,086","1,408","1,234","2,527","2,699","1,675","1,274","557","63","1","17,058","17,058","1,127","2,554","1,793","1,664","3,312","2,659","1,843","1,429","543","131","3","31,578","31,578","2,210","4,614","3,177","2,884","5,823","5,357","3,501","2,712","1,105","190","5","14,537","14,537","1,068","2,072","1,393","1,224","2,522","2,686","1,669","1,279","561","61","2","17,041","17,041","1,142","2,542","1,784","1,660","3,301","2,671","1,832","1,433","544","129","3","31,411","31,411","2,182","4,614","3,154","2,861","5,754","5,328","3,501","2,709","1,112","191","5","14,460","14,460","1,057","2,063","1,388","1,215","2,497","2,656","1,676","1,285","559","62","2","16,951","16,951","1,125","2,551","1,766","1,646","3,257","2,672","1,825","1,424","553","129","3","31,225","31,225","2,137","4,597","3,148","2,829","5,704","5,317","3,486","2,697","1,112","193","5","14,379","14,379","1,036","2,055","1,388","1,200","2,471","2,661","1,665","1,282","554","65","2","16,846","16,846","1,101","2,542","1,760","1,629","3,233","2,656","1,821","1,415","558","128","3","31,209","31,209","2,126","4,595","3,147","2,826","5,698","5,308","3,483","2,703","1,124","194","5","14,371","14,371","1,032","2,054","1,383","1,201","2,473","2,659","1,661","1,282","558","66","2","16,838","16,838","1,094","2,541","1,764","1,625","3,225","2,649","1,822","1,421","566","128","3","31,133","31,133","2,098","4,579","3,127","2,807","5,659","5,324","3,486","2,720","1,127","201","5","14,325","14,325","1,023","2,034","1,372","1,191","2,451","2,665","1,672","1,284","561","70","2","16,808","16,808","1,075","2,545","1,755","1,616","3,208","2,659","1,814","1,436","566","131","3"
"서울특별시 강남구 개포1동(1168066000)","26,443","26,443","2,281","3,575","2,327","2,941","4,934","4,176","3,380","2,128","601","95","5","12,721","12,721","1,171","1,756","1,132","1,283","2,282","2,135","1,618","1,012","307","25","0","13,722","13,722","1,110","1,819","1,195","1,658","2,652","2,041","1,762","1,116","294","70","5","26,445","26,445","2,275","3,597","2,293","2,917","4,938","4,175","3,381","2,165","606","93","5","12,726","12,726","1,169","1,769","1,118","1,265","2,288","2,131","1,617","1,031","312","26","0","13,719","13,719","1,106","1,828","1,175","1,652","2,650","2,044","1,764","1,134","294","67","5","26,370","26,370","2,251","3,601","2,260","2,900","4,898","4,188","3,378","2,177","622","90","5","12,682","12,682","1,166","1,767","1,098","1,251","2,270","2,137","1,621","1,025","322","25","0","13,688","13,688","1,085","1,834","1,162","1,649","2,628","2,051","1,757","1,152","300","65","5","26,352","26,352","2,224","3,637","2,237","2,877","4,886","4,207","3,391","2,176","622","92","3","12,677","12,677","1,149","1,790","1,085","1,240","2,262","2,139","1,629","1,035","324","24","0","13,675","13,675","1,075","1,847","1,152","1,637","2,624","2,068","1,762","1,141","298","68","3","26,314","26,314","2,212","3,653","2,226","2,853","4,877","4,216","3,380","2,184","620","90","3","12,675","12,675","1,147","1,799","1,086","1,238","2,251","2,146","1,621","1,039","325","23","0","13,639","13,639","1,065","1,854","1,140","1,615","2,626","2,070","1,759","1,145","295","67","3","26,313","26,313","2,199","3,656","2,222","2,826","4,876","4,242","3,376","2,196","629","88","3","12,670","12,670","1,141","1,806","1,082","1,223","2,246","2,157","1,620","1,046","327","22","0","13,643","13,643","1,058","1,850","1,140","1,603","2,630","2,085","1,756","1,150","302","66","3"
"서울특별시 강남구 개포2동(1168067000)","41,546","41,546","3,651","5,256","4,125","5,918","7,536","6,657","4,654","2,882","753","110","4","20,130","20,130","1,913","2,661","2,065","2,713","3,455","3,325","2,228","1,378","371","19","2","21,416","21,416","1,738","2,595","2,060","3,205","4,081","3,332","2,426","1,504","382","91","2","41,073","41,073","3,629","5,215","4,031","5,808","7,514","6,561","4,594","2,848","757","112","4","19,922","19,922","1,912","2,641","2,025","2,656","3,447","3,286","2,194","1,368","371","20","2","21,151","21,151","1,717","2,574","2,006","3,152","4,067","3,275","2,400","1,480","386","92","2","40,468","40,468","3,594","5,172","3,959","5,714","7,428","6,462","4,469","2,817","738","111","4","19,617","19,617","1,901","2,618","1,977","2,590","3,418","3,241","2,135","1,350","364","21","2","20,851","20,851","1,693","2,554","1,982","3,124","4,010","3,221","2,334","1,467","374","90","2","39,919","39,919","3,581","5,165","3,854","5,630","7,378","6,342","4,342","2,772","743","108","4","19,327","19,327","1,894","2,610","1,922","2,544","3,390","3,179","2,079","1,320","366","21","2","20,592","20,592","1,687","2,555","1,932","3,086","3,988","3,163","2,263","1,452","377","87","2","39,737","39,737","3,570","5,155","3,829","5,588","7,321","6,346","4,294","2,768","749","113","4","19,256","19,256","1,890","2,612","1,918","2,524","3,368","3,181","2,052","1,316","371","22","2","20,481","20,481","1,680","2,543","1,911","3,064","3,953","3,165","2,242","1,452","378","91","2","39,784","39,784","3,597","5,158","3,822","5,592","7,306","6,370","4,284","2,782","754","117","2","19,274","19,274","1,906","2,610","1,918","2,516","3,354","3,203","2,050","1,317","377","22","1","20,510","20,510","1,691","2,548","1,904","3,076","3,952","3,167","2,234","1,465","377","95","1"
"서울특별시 강남구 개포3동(1168067500)","15,428","15,428","901","1,599","1,263","2,332","2,713","2,095","1,990","1,820","614","94","7","7,391","7,391","515","1,033","651","1,100","1,267","1,047","832","703","225","16","2","8,037","8,037","386","566","612","1,232","1,446","1,048","1,158","1,117","389","78","5","15,413","15,413","923","1,589","1,246","2,340","2,705","2,086","1,974","1,832","617","94","7","7,400","7,400","526","1,025","646","1,118","1,263","1,038","829","709","228","16","2","8,013","8,013","397","564","600","1,222","1,442","1,048","1,145","1,123","389","78","5","15,381","15,381","914","1,598","1,219","2,333","2,694","2,077","1,968","1,849","624","98","7","7,385","7,385","524","1,032","630","1,121","1,252","1,036","821","719","231","17","2","7,996","7,996","390","566","589","1,212","1,442","1,041","1,147","1,130","393","81","5","15,370","15,370","914","1,601","1,202","2,322","2,673","2,080","1,969","1,867","636","99","7","7,370","7,370","526","1,034","614","1,113","1,248","1,037","814","729","235","18","2","8,000","8,000","388","567","588","1,209","1,425","1,043","1,155","1,138","401","81","5","15,343","15,343","904","1,609","1,197","2,296","2,683","2,075","1,962","1,868","642","99","8","7,354","7,354","517","1,035","617","1,101","1,254","1,031","811","734","234","18","2","7,989","7,989","387","574","580","1,195","1,429","1,044","1,151","1,134","408","81","6","15,282","15,282","903","1,603","1,183","2,265","2,676","2,078","1,960","1,860","650","98","6","7,326","7,326","512","1,039","607","1,090","1,250","1,033","815","726","235","18","1","7,956","7,956","391","564","576","1,175","1,426","1,045","1,145","1,134","415","80","5"
"서울특별시 강남구 개포4동(1168069000)","22,643","22,643","1,446","2,091","2,552","3,525","3,658","3,736","3,154","1,786","596","97","2","10,882","10,882","738","1,019","1,264","1,710","1,773","1,772","1,474","826","282","24","0","11,761","11,761","708","1,072","1,288","1,815","1,885","1,964","1,680","960","314","73","2","22,646","22,646","1,439","2,097","2,527","3,514","3,667","3,735","3,166","1,803","598","97","3","10,880","10,880","739","1,017","1,254","1,698","1,786","1,768","1,477","830","286","25","0","11,766","11,766","700","1,080","1,273","1,816","1,881","1,967","1,689","973","312","72","3","22,616","22,616","1,437","2,092","2,510","3,508","3,644","3,716","3,173","1,832","605","97","2","10,863","10,863","740","1,009","1,249","1,698","1,769","1,765","1,480","839","290","24","0","11,753","11,753","697","1,083","1,261","1,810","1,875","1,951","1,693","993","315","73","2","22,666","22,666","1,446","2,083","2,519","3,517","3,646","3,725","3,177","1,839","612","99","3","10,878","10,878","743","1,002","1,252","1,706","1,764","1,772","1,476","848","291","24","0","11,788","11,788","703","1,081","1,267","1,811","1,882","1,953","1,701","991","321","75","3","22,686","22,686","1,444","2,084","2,491","3,529","3,637","3,732","3,191","1,861","614","100","3","10,890","10,890","738","1,000","1,238","1,716","1,760","1,777","1,484","859","293","25","0","11,796","11,796","706","1,084","1,253","1,813","1,877","1,955","1,707","1,002","321","75","3","22,695","22,695","1,446","2,090","2,481","3,527","3,638","3,709","3,205","1,874","623","99","3","10,889","10,889","737","1,009","1,220","1,719","1,762","1,770","1,489","864","292","27","0","11,806","11,806","709","1,081","1,261","1,808","1,876","1,939","1,716","1,010","331","72","3"
"서울특별시 강남구 세곡동(1168070000)","45,599","45,599","3,173","4,947","5,044","7,562","7,652","6,333","5,454","3,572","1,545","309","8","21,292","21,292","1,644","2,442","2,202","3,467","3,631","3,090","2,471","1,646","609","87","3","24,307","24,307","1,529","2,505","2,842","4,095","4,021","3,243","2,983","1,926","936","222","5","45,584","45,584","3,183","4,949","4,982","7,525","7,656","6,356","5,466","3,610","1,539","310","8","21,291","21,291","1,658","2,431","2,183","3,442","3,643","3,096","2,482","1,661","604","88","3","24,293","24,293","1,525","2,518","2,799","4,083","4,013","3,260","2,984","1,949","935","222","5","45,500","45,500","3,196","4,926","4,931","7,505","7,643","6,329","5,472","3,633","1,545","312","8","21,263","21,263","1,663","2,429","2,168","3,427","3,634","3,094","2,484","1,660","612","89","3","24,237","24,237","1,533","2,497","2,763","4,078","4,009","3,235","2,988","1,973","933","223","5","45,458","45,458","3,190","4,941","4,890","7,470","7,637","6,355","5,464","3,642","1,540","321","8","21,229","21,229","1,658","2,430","2,160","3,399","3,627","3,102","2,485","1,660","617","88","3","24,229","24,229","1,532","2,511","2,730","4,071","4,010","3,253","2,979","1,982","923","233","5","45,442","45,442","3,186","4,941","4,889","7,447","7,644","6,359","5,458","3,652","1,531","327","8","21,225","21,225","1,656","2,425","2,160","3,385","3,632","3,104","2,493","1,664","611","92","3","24,217","24,217","1,530","2,516","2,729","4,062","4,012","3,255","2,965","1,988","920","235","5","45,392","45,392","3,162","4,924","4,899","7,411","7,626","6,373","5,469","3,654","1,540","325","9","21,208","21,208","1,642","2,413","2,175","3,372","3,620","3,105","2,507","1,663","616","92","3","24,184","24,184","1,520","2,511","2,724","4,039","4,006","3,268","2,962","1,991","924","233","6"
"서울특별시 강남구 일원본동(1168072000)","22,266","22,266","1,549","3,250","2,016","2,483","4,237","3,470","2,851","1,777","492","138","3","11,018","11,018","860","1,925","1,063","1,153","1,938","1,673","1,280","874","219","33","0","11,248","11,248","689","1,325","953","1,330","2,299","1,797","1,571","903","273","105","3","22,203","22,203","1,547","3,242","1,996","2,456","4,212","3,483","2,843","1,791","496","134","3","10,974","10,974","849","1,927","1,050","1,142","1,916","1,681","1,277","876","224","32","0","11,229","11,229","698","1,315","946","1,314","2,296","1,802","1,566","915","272","102","3","22,131","22,131","1,530","3,217","1,999","2,448","4,191","3,456","2,844","1,818","493","132","3","10,936","10,936","837","1,917","1,046","1,137","1,911","1,672","1,279","881","227","29","0","11,195","11,195","693","1,300","953","1,311","2,280","1,784","1,565","937","266","103","3","22,161","22,161","1,527","3,216","2,011","2,444","4,200","3,465","2,829","1,837","493","135","4","10,958","10,958","833","1,916","1,055","1,135","1,924","1,675","1,273","887","228","32","0","11,203","11,203","694","1,300","956","1,309","2,276","1,790","1,556","950","265","103","4","22,148","22,148","1,519","3,207","2,017","2,436","4,189","3,468","2,827","1,852","494","135","4","10,959","10,959","822","1,921","1,060","1,131","1,922","1,680","1,269","895","228","31","0","11,189","11,189","697","1,286","957","1,305","2,267","1,788","1,558","957","266","104","4","22,133","22,133","1,507","3,205","2,017","2,439","4,187","3,457","2,819","1,866","497","134","5","10,936","10,936","817","1,919","1,051","1,128","1,920","1,679","1,251","909","231","31","0","11,197","11,197","690","1,286","966","1,311","2,267","1,778","1,568","957","266","103","5"
"서울특별시 강남구 일원1동(1168073000)","14,009","14,009","481","924","1,668","2,205","1,877","1,974","2,358","1,772","642","107","1","6,707","6,707","247","527","780","1,107","951","974","1,091","751","248","31","0","7,302","7,302","234","397","888","1,098","926","1,000","1,267","1,021","394","76","1","13,999","13,999","483","914","1,662","2,213","1,863","1,969","2,359","1,781","643","111","1","6,706","6,706","248","525","785","1,107","947","971","1,086","754","250","33","0","7,293","7,293","235","389","877","1,106","916","998","1,273","1,027","393","78","1","14,009","14,009","485","907","1,651","2,223","1,866","1,956","2,360","1,801","646","113","1","6,704","6,704","250","519","771","1,111","949","968","1,088","762","253","33","0","7,305","7,305","235","388","880","1,112","917","988","1,272","1,039","393","80","1","13,971","13,971","483","888","1,651","2,194","1,852","1,958","2,362","1,820","652","109","2","6,684","6,684","248","504","770","1,101","943","971","1,091","767","258","31","0","7,287","7,287","235","384","881","1,093","909","987","1,271","1,053","394","78","2","13,959","13,959","480","883","1,652","2,188","1,852","1,959","2,355","1,825","654","109","2","6,666","6,666","248","503","762","1,092","947","971","1,087","766","258","32","0","7,293","7,293","232","380","890","1,096","905","988","1,268","1,059","396","77","2","13,925","13,925","474","878","1,642","2,182","1,841","1,955","2,359","1,818","661","113","2","6,642","6,642","240","500","755","1,088","937","969","1,091","766","264","32","0","7,283","7,283","234","378","887","1,094","904","986","1,268","1,052","397","81","2"
